trk_rec_type,trk_crsh_id,trk_unit_num,trk_carr_city,trk_carr_st,trk_carr_zip,trk_carr_name_src_cd,trk_intr_inta_ind,trk_gvwr,trk_cdl_grp_cd,trk_cdl_exmp_cd,trk_med_card_ind,trk_trk_type_cd,trk_frst_unit_axle,trk_scnd_unit_axle,trk_crgo_body_type_cd,trk_hzrd_matl_plrd_ind,trk_hzrd_matl_spll_ind,trk_cdl_rstr_28_ind,trk_cdl_rstr_29_ind,trk_cdl_rstr_30_ind,trk_cdl_rstr_35_ind,trk_cdl_rstr_36_ind,trk_trk_updt_date,trk_crnt_x_cord,trk_crnt_y_cord,trk_cnty_cd ,trk_date_val,trk_milt_time
7,8549272,2,GRAND RAPIDS,MI,49501,4,2,9935,3,,1,16,B1,,8,0,0,0,0,0,0,0,07-FEB-13,-85.6456818962595,42.8838064736813,41,20130121,1345
7,8549301,1,GRAND RAPIDS,MI,49503,2,1,80000,3,,1,1,T3,S2,1,0,0,0,0,0,0,0,31-JAN-13,-85.7056852160391,42.9563592851058,41,20130123,1100
7,8549328,2,GRAND RAPIDS,MI,49512,,1,70000,1,,1,1,3,2,1,0,0,0,0,0,0,0,12-FEB-13,-85.5765623553597,42.8980106727543,41,20130118,1325
7,8549363,2,GRAND RAPIDS,MI,49508,4,2,80000,1,,1,1,T2,S1,8,0,0,0,0,0,0,0,07-FEB-13,-85.5650620400834,42.8835473266746,41,20130125,2040
7,8549893,2,GRAND RAPIDS,MI,49544,1,1,90000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,31-JAN-13,-85.6465387799058,42.1851791925147,39,20130128,508
7,8551196,1,GRAND RAPIDS,MI,49507-1525,1,2,32000,1,,1,10,2,,1,0,0,1,0,0,0,0,11-FEB-13,-85.4580925741122,43.2956950709411,59,20130129,939
7,8552614,2,GRAND RAPIDS,MI,49504,2,1,40780,1,,1,1,2,,4,0,0,0,0,0,0,0,04-FEB-13,-85.5516642624027,43.2578885746954,41,20130203,2235
7,8552669,2,GRAND RAPIDS,MI,49503,1,1,27860,2,,1,13,B2,,8,0,0,0,0,0,0,0,04-FEB-13,-85.6862560263788,42.9284707264879,41,20130201,715
7,8554313,1,GRAND RAPIDS,MI,49512,2,1,15000,2,,1,18,2,,1,0,0,0,0,0,0,0,05-FEB-13,-85.6959057219299,42.9134065163403,41,20130204,1038
7,8555433,1,GRAND RAPIDS,MI,49525,4,1,10000,3,,1,20,2,,8,0,0,0,0,0,0,0,06-FEB-13,,,41,20130204,1515
7,8555492,2,GRAND RAPIDS,MI,49506,4,1,9000,2,,1,19,B2,,8,0,0,0,0,0,0,0,06-FEB-13,-85.6236436052961,42.9234727698724,41,20130131,755
7,8555539,2,GRAND RAPIDS,MI,49525,1,1,15000,1,,1,20,B2,,8,0,0,0,0,0,0,0,11-FEB-13,-85.6331955868129,42.8901701704905,41,20130201,1240
7,8555541,2,GRAND RAPIDS,MI,49503,1,1,15876,1,,1,10,2,,4,0,0,0,0,0,0,0,11-FEB-13,-85.6432441428443,42.9273213810581,41,20130202,1530
7,8555553,2,GRAND RAPIDS,MI,49503,4,1,17963,2,,1,13,B2,,8,0,0,0,0,0,0,0,11-FEB-13,-85.6494050757335,42.9610143030976,41,20130203,1730
7,8555555,2,GRAND RAPIDS,MI,49503,2,1,20000,3,,0,1,3,2,1,0,0,0,0,0,0,0,06-FEB-13,-85.648785818881,43.0076475620337,41,20130131,1015
7,8555556,2,GRAND RAPIDS,MI,49503,2,1,20000,3,,0,1,3,2,7,0,0,0,0,0,0,0,06-FEB-13,-85.6577519248303,43.0018631734432,41,20130131,1315
7,8556150,1,GRAND RAPIDS,MI,49503,1,2,80000,1,,1,1,3,2,1,0,0,0,0,0,0,0,06-FEB-13,-86.1997483431995,43.20757595009,61,20130205,933
7,8556986,2,GRAND RAPIDS,MI,49506,1,1,24000,2,,1,20,B2,,8,0,0,0,0,0,0,0,19-FEB-13,-85.6300465925879,42.9271032574511,41,20130204,750
7,8557414,1,GRAND RAPIDS,MI,49548,2,1,26000,5,9,1,10,2,,3,0,0,0,0,0,0,0,25-FEB-13,-86.1505570210939,44.4058451441547,51,20130206,900
7,8557697,2,GRAND RAPIDS,MI,49528,4,2,80000,,,1,1,T2,,8,0,0,0,0,0,0,0,12-FEB-13,-84.1814094608818,42.9904529143935,78,20130126,1956
7,8558781,1,GRAND RAPIDS,MI,49544,1,1,90000,1,,1,1,2,2,1,0,0,0,0,0,0,0,08-FEB-13,-83.2760826995417,42.3858102862119,82,20130207,1409
7,8558929,1,GRAND RAPIDS,MI,49598,1,2,24000,3,,1,18,O2,,1,0,0,0,0,0,0,0,11-FEB-13,-84.6218055310352,45.2014901282315,16,20130203,415
7,8559777,1,GRAND RAPIDS,MI,49503,1,1,26000,3,,1,18,2,,1,0,0,0,0,0,0,0,11-FEB-13,-86.1684566000834,42.6553376643767,3,20130206,1500
7,8560257,1,GRAND RAPIDS,MI,49534,3,1,80000,1,,1,1,T2,S2,1,0,0,0,0,0,0,0,11-FEB-13,-85.668628976685,42.7812265923143,41,20130208,730
7,8560367,1,GRAND RAPIDS,MI,49503,1,1,10000,2,,1,19,B2,,8,0,0,0,0,0,0,0,11-FEB-13,-85.6782513642154,42.966600159947,41,20130207,1120
7,8560368,1,GRAND RAPIDS,MI,49503,1,1,10000,1,,1,19,B2,,8,0,0,0,0,0,0,0,11-FEB-13,-85.6770568281609,42.9665850299088,41,20130207,1120
7,8560393,1,GRAND RAPIDS,MI,49503,1,1,20000,1,,1,4,B2,,8,0,0,0,0,0,0,0,11-FEB-13,-85.723159419413,42.8625065338059,41,20130209,1620
7,8560607,2,GRAND RAPIDS,MI,49518,4,1,80000,1,,1,1,T2,S2,1,0,0,0,0,0,0,0,20-FEB-13,-83.2601947280686,42.4855587924303,63,20130208,1900
7,8560737,2,GRAND RAPIDS,MI,49501,1,1,80000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,20-FEB-13,-85.9383625503922,43.0528198645834,70,20130208,1101
7,8561267,1,GRAND RAPIDS,MI,49544,1,1,80000,1,,1,1,3,2,1,0,0,0,0,0,0,0,11-FEB-13,-86.2053187591741,43.2050132636954,61,20130208,1057
7,8561655,3,GRAND RAPIDS,MI,49501,1,1,145000,1,,1,2,T3,S4,2,1,0,0,0,0,0,0,19-FEB-13,-85.936571210263,42.5938387595349,3,20130204,731
7,8563520,2,GRAND RAPIDS,MI,49504,4,1,90000,1,,1,10,4,,4,0,0,0,0,0,0,0,21-FEB-13,-85.3161632035887,43.1525965758616,41,20130208,1455
7,8565212,1,GRAND RAPIDS,MI,49503,1,2,17860,4,1,0,21,T2,,8,0,0,0,0,0,0,0,18-FEB-13,-86.0674524767124,43.2348150392201,61,20130214,2129
7,8565713,2,GRAND RAPIDS,MI,49503,4,1,29000,2,,0,10,B2,,8,0,0,0,0,0,0,0,19-FEB-13,-85.697399899441,42.9663952745281,41,20130213,1655
7,8565726,1,GRAND RAPIDS,MI,49509,1,1,39500,3,,1,8,T4,,6,0,0,0,0,0,0,0,19-FEB-13,-85.6757302222035,42.898694923444,41,20130212,1100
7,8566619,1,GRAND RAPIDS,MI,49512,1,1,26000,1,,1,10,2,,1,0,0,0,0,0,0,0,25-FEB-13,-84.5678358839294,42.7124701904112,33,20130214,900
7,8566847,2,GRAND RAPIDS,MI,49546,1,1,31000,2,,1,20,B2,,8,0,0,0,0,0,0,0,25-FEB-13,-85.4844943004348,42.9002549433816,41,20130219,714
7,8566887,2,GRAND RAPIDS,MI,49546,4,1,29800,1,,1,19,2,,8,0,0,0,0,0,0,0,20-FEB-13,-85.6002741522608,43.013142666491,41,20130219,815
7,8569062,2,GRAND RAPIDS,MI,49508,1,1,80000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,26-FEB-13,-86.5105600835162,42.0330879373951,11,20130219,1754
7,8569492,1,GRAND RAPIDS,MI,49503,1,1,80000,2,,1,13,B2,,8,0,0,0,0,0,0,0,26-FEB-13,-85.6607801290625,42.9600818914782,41,20130219,720
7,8569557,1,GRAND RAPIDS,MI,49509-1837,1,1,10000,1,,0,18,2,,1,0,0,0,0,0,0,0,27-JAN-14,-83.2239699122553,43.0091336336126,44,20130218,1339
7,8570555,2,GRAND RAPIDS,MI,49548,,1,24000,2,,1,18,2,,1,0,0,0,0,0,0,0,25-FEB-13,-85.4656582359092,44.8180547647061,28,20130214,1538
7,8570576,2,GRAND RAPIDS,MI,49508,1,1,24000,1,,1,,2,,1,0,0,0,0,0,0,0,25-FEB-13,-84.7269585993025,45.027478664634,69,20130208,915
7,8570726,2,GRAND RAPIDS,MI,49544,2,1,54000,3,,1,10,4,,3,0,0,0,0,0,0,0,25-FEB-13,-82.9865640744306,42.4722541564533,50,20130206,1136
7,8571413,2,GRAND RAPIDS,MI,49503,1,1,90000,1,,1,10,3,,3,0,0,0,0,0,0,0,28-FEB-13,-83.9078132839113,43.479714371442,73,20130222,1100
7,8573359,1,GRAND RAPIDS,MI,49534,2,1,,3,,1,,2,,1,0,0,0,0,0,0,0,26-FEB-13,-85.547872870481,42.8835565778803,41,20130211,1533
7,8573754,2,GRAND RAPIDS,MI,49503,1,1,50000,1,,1,1,T2,S1,4,0,0,0,0,0,0,0,05-MAR-13,-85.7137604856724,42.9916885949514,41,20130222,1621
7,8573756,1,GRAND RAPIDS,MI,49503,1,1,60000,4,9,1,10,3,,7,0,0,0,0,0,0,0,26-FEB-13,-85.6302695853709,42.8875509987727,41,20130225,903
7,8574432,2,GRAND RAPIDS,MI,49503,2,1,60000,1,,1,3,3,,7,0,0,0,0,0,0,0,27-FEB-13,-85.6492648364993,42.9509670427804,41,20130226,1353
7,8575426,2,GRAND RAPIDS,MI,49512,4,2,48000,1,,1,10,T5,S1,1,0,0,0,0,0,0,0,28-FEB-13,-84.5234609045698,42.6401358269018,33,20130221,905
7,8576330,2,GRAND RAPIDS,MI,49548,4,1,80000,1,,0,1,2,,1,0,0,0,0,0,0,0,28-FEB-13,-82.9956561335888,42.3920024065317,82,20130217,1000
7,8577141,2,GRAND RAPIDS,MI,49548,1,1,80000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,01-MAR-13,-83.7825595542321,43.2501875813339,73,20130109,827
7,8577498,1,GRAND RAPIDS,MI,49509-0390,1,1,43001,1,,1,1,2,S1,1,0,0,0,0,0,0,0,03-MAR-14,-85.3529604131047,44.9974133791684,5,20130219,835
7,8578469,2,GRAND RAPIDS,MI,49503,1,1,39600,2,,1,13,B2,,8,0,0,0,0,0,0,0,07-MAR-13,-85.6251742815634,42.9785043412424,41,20130227,837
7,8578491,2,GRAND RAPIDS,MI,49525,2,1,27000,3,,1,10,2,,1,0,0,0,0,0,0,0,04-MAR-13,-85.607946506203,42.909700740411,41,20130228,1420
7,8578766,2,GRAND RAPIDS,MI,49503,1,1,28001,2,,1,13,B2,,8,0,0,0,0,0,0,0,12-MAR-13,-85.8342477607376,42.9727557091887,70,20130226,1830
7,8579158,1,GRAND RAPIDS,MI,49501-1781,2,1,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,07-MAR-13,-84.6112933229919,45.4493501927499,16,20130219,1758
7,8580463,1,GRAND RAPIDS,MI,49501,1,1,80000,1,,1,1,T3,S3,1,0,0,0,0,0,0,0,11-MAR-13,-84.7691089494699,42.1596908351583,13,20130225,5
7,8581131,1,GRAND RAPIDS,MI,49508,4,2,130000,1,,0,1,3,6,1,0,0,0,0,0,0,0,06-MAR-13,-85.5396669027176,44.4109897032781,83,20130207,300
7,8581135,2,GRAND RAPIDS,MI,49508,1,1,26000,4,,1,18,2,,1,0,0,0,0,0,0,0,06-MAR-13,-85.406557225544,44.281426043908,83,20130215,150
7,8581231,2,GRAND RAPIDS,MI,49548,,2,,1,,,18,,,,0,0,0,0,0,0,0,06-MAR-13,-85.4064657328182,44.2671145740646,83,20130214,905
7,8581665,1,GRAND RAPIDS,MI,49548,1,1,80000,1,,1,1,17,,1,0,0,0,0,0,0,0,07-MAR-13,,,63,20130212,1459
7,8581956,1,GRAND RAPIDS,MI,49507,2,1,10000,4,9,0,18,2,,1,0,0,0,0,0,0,0,07-MAR-13,-85.4867495798126,43.5111343395726,54,20130222,1252
7,8581980,2,GRAND RAPIDS,MI,49548,1,1,22000,1,,1,16,B1,,8,0,0,0,0,0,0,0,12-MAR-13,-85.5009915789073,42.9153302579459,41,20130301,1050
7,8584248,1,GRAND RAPIDS,MI,49512,1,1,25999,4,9,1,1,2,,1,0,0,0,0,0,0,0,11-MAR-13,-83.3487850469985,42.4961208256569,63,20130308,1730
7,8584724,1,GRAND RAPIDS,MI,49504,1,2,130000,,,1,2,T3,S6,2,1,0,0,0,0,0,0,12-MAR-13,-85.6346369208596,44.7640234906789,28,20130302,1125
7,8584810,1,GRAND RAPIDS,MI,49512,1,1,80000,1,,1,,T2,S2,1,0,0,0,0,0,0,0,12-MAR-13,-85.834396361646,42.5505594217423,3,20130303,1027
7,8585149,1,GRAND RAPIDS,MI,49548,1,1,62000,1,,1,1,T3,S8,1,0,0,0,0,0,0,0,12-MAR-13,-85.6564139429797,42.9992262531326,41,20130308,1120
7,8585497,2,GRAND RAPIDS,MI,49504,4,1,30000,1,,1,1,T3,S2,1,1,0,0,0,0,0,0,18-MAR-13,-85.546874966592,42.8780736568282,41,20130219,702
7,8585498,4,GRAND RAPIDS,MI,49504,4,1,30000,1,,1,1,T3,S2,1,1,0,0,0,0,0,0,18-MAR-13,-85.546874966592,42.8780736568282,41,20130219,700
7,8585499,2,GRAND RAPIDS,MI,49546,1,2,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,18-MAR-13,-85.5569828743553,42.8835510286064,41,20130227,400
7,8585711,1,GRAND RAPIDS,MI,49548, ,1,0,4,,,,,,1,,,0,0,0,0,0,13-MAR-13,-83.5521549815102,42.2249447349573,81,20130219,1300
7,8585907,2,GRAND RAPIDS,MI,49504,4,1,14780,3,,1,1,T2,,4,0,0,0,0,0,0,0,13-MAR-13,-85.6831965301523,42.7975377961746,41,20130226,1725
7,8585929,1,GRAND RAPIDS,MI,49519,4,1,80001,3,,1,1,2,,1,0,0,0,0,0,0,0,13-MAR-13,-85.6248481110494,42.8447391624445,41,20130211,2050
7,8585960,2,GRAND RAPIDS,MI,49503,1,1,17963,2,,1,13,2,,8,0,0,0,0,0,0,0,13-MAR-13,-85.6746062124734,42.956064743097,41,20130311,1505
7,8585992,1,GRAND RAPIDS,MI,49503,4,1,18000,2,,1,13,B2,,8,0,0,0,0,0,0,0,18-MAR-13,-85.5974762385624,42.9125857732433,41,20130312,1812
7,8586087,1,GRAND RAPIDS,MI,49512,1,1,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,18-MAR-13,-83.0372920029323,42.4909022836774,50,20130304,1400
7,8586313,1,GRAND RAPIDS,MI,49504,1,2,145000,1,,1,10,3,,4,0,0,0,0,0,0,0,13-MAR-13,-85.2962744440722,43.1957938610406,59,20130226,814
7,8586487,1,GRAND RAPIDS,MI,49501,1,1,130000,1,,1,2,T2,S1,2,1,0,0,0,0,0,0,19-MAR-13,-85.6347812383537,44.7557535516615,28,20130304,553
7,8587217,2,GRAND RAPIDS,MI,49504,1,1,40780,1,,1,10,2,,4,0,0,0,0,0,0,0,14-MAR-13,-85.6774412836325,42.91325041336,41,20130223,2241
7,8587218,1,GRAND RAPIDS,MI,49512,2,1,25000,4,9,0,18,2,,1,0,0,0,0,0,0,0,14-MAR-13,-85.6757622907412,42.8659876536113,41,20130222,900
7,8589670,1,GRAND RAPIDS,MI,49503,1,1,60000,1,,0,10,T3,,4,0,0,0,0,0,0,0,18-MAR-13,-85.711612958184,42.9870360744622,41,20130315,1352
7,8589677,2,GRAND RAPIDS,MI,49503,1,1,25000,2,,1,10,2,,1,0,0,0,0,0,0,0,18-MAR-13,-85.6764332348013,42.9848281350893,41,20130315,1415
7,8589691,1,GRAND RAPIDS,MI,49503,4,1,50000,2,,1,13,B2,,8,0,0,0,0,0,0,0,21-MAR-13,-85.6741372774642,42.9621769277039,41,20130316,1345
7,8590606,1,GRAND RAPIDS,MI,49512,2,1,80000,,,,1,T3,,8,0,0,0,0,0,0,0,21-MAR-13,,,41,20130208,UNK 
7,8591218,1,GRAND RAPIDS,MI,49504,1,1,35000,1,9,1,10,2,,4,0,0,0,0,0,0,0,27-MAR-13,-85.6721442816304,42.966386161604,41,20130312,451
7,8591888,1,GRAND RAPIDS,MI,49503,1,1,80000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,20-MAR-13,-86.3582645931227,41.8200621835708,11,20130315,620
7,8592140,2,GRAND RAPIDS,MI,49503,1,1,18792,2,,1,13,B2,,8,0,0,0,0,0,0,0,20-MAR-13,-85.6586514490585,42.9366496090584,41,20130319,735
7,8592410,1,GRAND RAPIDS,MI,49503,1,1,39600,3,,1,20,B2,,8,0,0,0,0,0,0,0,20-MAR-13,,,70,20130319,1117
7,8593111,2,GRAND RAPIDS,MI,49503,4,1,14500,4,9,1,16,B1,,8,0,0,0,0,0,0,0,21-MAR-13,-85.6785961951724,42.9648522267488,41,20130315,830
7,8593621,2,GRAND RAPIDS,MI,49534,1,1,72000,1,,0,1,T2,S2,1,0,0,0,0,0,0,0,21-MAR-13,-85.9848833790282,42.8124784911033,70,20130219,745
7,8593640,2,GRAND RAPIDS,MI,49503,4,1,17693,1,,1,13,B2,,8,0,0,0,0,0,0,0,21-MAR-13,-85.9047930385994,42.9634561205826,70,20130214,2052
7,8593651,2,GRAND RAPIDS,MI,49503,1,1,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,27-MAR-13,-86.0793115563578,42.7392477510772,3,20130219,541
7,8594349,1,GRAND RAPIDS,MI,49534,1,1,10000,1,,1,1,T2,S1,4,0,0,0,0,0,0,0,22-MAR-13,,,41,20130321,1715
7,8595311,1,GRAND RAPIDS,MI,49504,3,1,80000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,25-MAR-13,-83.4855115999015,42.2048750104677,82,20130215,1005
7,8595726,2,GRAND RAPIDS,MI,49528,1,1,80000,1,,1,1,T2,S2,1,0,0,0,0,0,0,0,02-APR-13,-84.3569282937582,42.2582130899514,38,20130316,754
7,8596201,2,GRAND RAPIDS,MI,49544,2,1,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,25-MAR-13,-85.6518103071739,42.2617012824419,39,20130317,1955
7,8596436,1,GRAND RAPIDS,MI,49525,3,1,52000,3,,1,1,T3,,,0,0,0,0,0,0,0,25-MAR-13,-84.4088177079061,42.2503067096362,38,20130321,1713
7,8596626,2,GRAND RAPIDS,MI,49512,4,2,36000,1,,1,1,2,,4,0,0,0,0,0,0,0,26-MAR-13,-85.5355248179113,42.8837988886268,41,20130226,1745
7,8596974,2,GRAND RAPIDS,MI,49519,1,1,30000,1,,1,10,2,,1,0,0,0,0,0,0,0,26-MAR-13,-85.4420736313707,43.4201408993356,59,20130320,1700
